[ 2026-02-13 16:51:57,899 ] 20 root - INFO - Initiate the data ingestion
[ 2026-02-13 16:51:59,328 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-13 16:51:59,328 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-13 16:51:59,329 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-13 16:51:59,378 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-13 16:51:59,378 ] 22 root - INFO - Data Initiation Completed
[ 2026-02-13 16:51:59,383 ] 27 root - INFO - Initiate the data Validation
[ 2026-02-13 16:51:59,394 ] 32 root - INFO - Required number of columns:2
[ 2026-02-13 16:51:59,394 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-13 16:51:59,394 ] 32 root - INFO - Required number of columns:2
[ 2026-02-13 16:51:59,395 ] 33 root - INFO - Data frame has columns:31
[ 2026-02-13 16:51:59,510 ] 29 root - INFO - data Validation Completed
[ 2026-02-13 16:51:59,510 ] 33 root - INFO - data Transformation started
[ 2026-02-13 16:51:59,510 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-02-13 16:51:59,510 ] 65 root - INFO - Starting data transformation
[ 2026-02-13 16:51:59,524 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-02-13 16:51:59,524 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-13 16:51:59,536 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-13 16:51:59,541 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-13 16:51:59,541 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-13 16:51:59,545 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-13 16:51:59,545 ] 37 root - INFO - data Transformation completed
